Address,Section,Parking,Link,Name,Latitude,Longitude,Additional Info
서울 도봉구 시루봉로 42,도봉,주차 가능,https://www.dobongsiseol.or.kr/index_sm_sport.html,쌍문종합체육센터,37.654381142,127.028369813,
서울특별시 구로구 오류로 36-25,구로,"- 만차일 경우, 천왕역 환승센터 주차장 이용
- 가급적 대중교통 이용
",https://www.gurosisul.or.kr/mod.asp?m=business&s=b07,50플러스 수영장,37.4884743879741,126.841844660977,
서울특별시 용산구 두텁바위로 25,용산,주차 가능,http://www.galwol.or.kr/,갈월종합사회복지관 수영장,37.5458164213409,126.974822733534,
서울특별시 강남구 밤고개로1길 52,강남,주차 가능,https://life.gangnam.go.kr/fmcs/104,강남스포츠문화센터,37.4890010498708,127.105280820161,
서울특별시 강남구 남부순환로 3318 ,강남,프로그램 이용 회원에 한해 3시간 무료 주차,https://ykasports.com/,강남주민편익시설 수영장,37.4941574897199,127.093643339766,
서울특별시 강동구 양재대로138길 41,강동,주차 가능,,강동청소년회관 수영장,37.5497573716985,127.146232700283,
서울특별시 강북구 삼각산로 85,강북,"부설주차장 5분 당 150원
강좌 수강 시 수강 시간+1시간 무료
대중교통 이용 권장",https://www.gbcmc.or.kr/fmcs/25,강북문화예술회관,37.6409897866256,127.013878144422,
서울특별시 강북구 삼각산로 85,강북,"부설주차장 5분 당 150원
강좌 수강 시 수강 시간+1시간 무료
대중교통 이용 권장",https://www.gbcmc.or.kr/fmcs/25,강북문화예술회관 수영장,37.6409897866256,127.013878144422,
서울특별시 강북구 오현로31길 51,강북,"주차 가능 (69면)
강습 시간 전후 1시간 무료",https://www.gbcmc.or.kr/fmcs/70,강북웰빙스포츠센터,37.6304527533868,127.037789370617,
서울특별시 강북구 오현로31길 51 ,강북,"주차 가능 (69면)
강습 시간 전후 1시간 무료",https://www.gbcmc.or.kr/fmcs/70,강북웰빙스포츠센터 수영장,37.6304527533868,127.037789370617,
서울특별시 강북구 솔샘로48길 14,강북,"외부 및 주차장 (강북종합체육센터 24면, 서울문화예술교육센터 강북 33면)",https://www.sports-island-gb.co.kr/Gangbuk/,강북종합체육센터,37.6195551709225,127.017722183323,
서울특별시 강서구 화곡로 65길 62 ,강서,"지하 2층 ~ 지하 4층
* 지하 2층 : 장애인, 여성 우선 주차장",https://sport.gssi.or.kr/page/sisul/01/,강서구민올림픽체육센터 수영장,37.5596698491317,126.850583992337,
서울특별시 성북구 북악산로 949-60,성북,주차 가능 (80대),https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400193,개운산스포츠센터 수영장,37.5968837882511,127.026231252666,
서울특별시 강동구 고덕로 399 ,강동,"지정된 구역 외 주차 금지
주차장이 협소하므로 대중교통 이용 권장",https://www.igangdong.or.kr/page/ch/ch_1201.asp,고덕어울림수영장,37.5574405229047,127.16967893433,
서울특별시 구로구 경인로 430,구로,주차 가능 (484면) ,http://www.gocheok-sc.or.kr/,고척스카이돔 수영장,37.4982125677913,126.867088741096,
서울특별시 구로구 경인로 430,구로,"고척스카이돔 인근 주차장 이용
소형차 기준 5분당 150원, 1시간당 1,800원",https://www.gocheok-sc.or.kr/,고척체육센터 수영장,37.4982125677913,126.867088741096,
서울특별시 강서구 송정로 45 ,강서,주차 가능 (28면),https://sport.gssi.or.kr/page/sisul/07/,공항동문화체육센터 수영장,37.5587828080206,126.810074279462,
서울특별시 관악구 낙성대로3길 37 ,관악,"5분당 250원 
체육센터 이용회원 3시간 무료
초과시 5분당 250원 부과",https://booking.gwanakgongdan.or.kr/booking/1536,관악구민종합체육센터 수영장,37.4730673056648,126.960315269279,
서울특별시 관악구 신림로23길 17 ,관악,주차 가능,https://booking.gwanakgongdan.or.kr/booking/1580,관악청소년회관 수영장,37.4702439018707,126.935243319909,
서울특별시 강동구 선사로 83-106,강동,"광나루1~4주차장 이용 (총 359면)
최초 30분 1,000원, 10분 초과당 200원 ",https://hangang.seoul.go.kr/archives/46585,광나루한강공원 수영장,37.5499660095739,127.122248580466,
서울특별시 광진구 구천면로 14  ,광진,"- 주차면수 : 83면
- 회원카드 제시 시 3시간 무료
- 자유수영/헬스 이용 시 3시간 3,000원
- 대관 이용 시 3시간 3,000원
- 공통 : 초과 10분당 500원 부과 ",https://booking.gwangjin.or.kr/fmcs/2,광진구민체육센터 수영장,37.546009932009,127.106801004255,
서울특별시 광진구 능동로 76,광진,주차 가능,https://booking.gwangjin.or.kr/fmcs/48,광진문화예술회관 수영장,37.5375706269359,127.070576040786,
서울특별시 구로구 고척로45길 39 ,구로,"- 회원전용 주차장
- 프로그램 이용 회원의 경우 2시간 무료
- 주차 공간이 협소하므로 가급적 대중 교통 이용",https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,구로구민체육센터 수영장,37.5065812423584,126.853275884576,
서울특별시 구로구 궁동 오리로22길 5 ,구로,주차장이 혼잡하므로 가급적 대중교통 이용,http://www.happykd.or.kr/,궁동종합사회복지관 수영장,37.499134592341,126.829564211936,
서울특별시 금천구 시흥대로79길 32 ,금천,"주차 가능 (총 60면)
회원에 한해 최대 3시간 무료
일반 이용 시 5분당 250원
주차장이 협소하므로 가급적 대중교통 이용",https://g.gfmc.kr/GFMCS/info/orgInfo?orgNo=1&tabNum=2#,금나래문화체육센터 수영장,37.4589313921586,126.896053143127,
서울특별시 금천구 독산로54길 188,금천,"- 주차장 출입구에 회원증 제시 후 출입
- 회원에 한해 3시간 무료 이용 가능
※ 승용차요일제 전자태그 미부착 차량은 주차이용불가",https://www.gfmc.kr/page/business/sub05_030102.php?tab_num=2#tab_con2,금천구민문화체육센터 수영장,37.4700689909083,126.907340474136,
서울특별시 금천구 금하로30길 54 ,금천,주차 불가,http://www.cyc.or.kr/,금천청소년센터 수영장,37.4482220959798,126.915690843449,
서울특별시 노원구 노원로22길 1,노원,"주차 가능 (72면) 
10분당 300원",https://www.nowonsc.kr/fmcs/73,노원구민체육센터 수영장,37.6481575587444,127.070699475633,
서울특별시 도봉구 덕릉로63가길 61,도봉,주차 가능,-,대우스포츠센터 수영장,37.6426063787029,127.037330634079,
서울특별시 강남구 선릉로64길 33 (수영장),강남,"주차 가능 
회원에 한해 3시간 무료",,도곡스포츠센터,37.4995114113359,127.054465527162,
서울특별시 도봉구 마들로 805 ,도봉,"주차 가능 (44면)
비회원 30분 무료, 이후 5분당 100원
이용 프로그램 당 3시간 (치대 6시간) 무료 주차",https://www.dobongsiseol.or.kr/index_msport.html,도봉동실내스포츠센터 수영장,37.6814150445465,127.050250153675,
서울특별시 도봉구 도봉로 180 나길41 ,도봉,"운영시간 06:00~22:00
주차 공간이 협소하므로 대중교통 이용 요망",https://www.dobongsiseol.or.kr/msport_center/intro/02.htm,도봉실내수영장,37.6843445449287,127.049895811436,
서울특별시 동대문구 장안벚꽃로 67 ,동대문,"최초 30분 무료 / 30분 초과 1시간 이내 기본 1,000원 / 1시간 초과시 10분당 500원",http://www.dfmc.kr:8080/course/sports/fmcs/121,동대문구민체육센터 수영장,37.5665309897881,127.073472384242,
서울특별시 동대문구 약령시로 5길 22,동대문,주차 공간이 협소하므로 대중교통 이용 권장,http://www.communitycenter.or.kr/,동대문종합사회복지관 수영장,37.5840209857522,127.034196960692,
서울특별시 동대문구 제기로 33길 25,동대문,주차 불가,http://www.ddmy.or.kr/,동대문청소년센터 수영장,37.5872413382227,127.049826506747,
서울특별시 광진구 아차산로 30길 36 ,광진,"수강생에 한해 유료 주차 가능
최초 1시간 1,000원
이후 10분 초과당 200원",https://dongbu.seoulwomanup.or.kr/dongbu/common/cntnts/selectContents.do?cntnts_id=G0600020,동부여성발전센터 수영장,37.5394028008357,127.066717912956,
